"date","server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
2023-11-12T12:00:00-0600,"ALLO - Lincoln - Lincoln, NE","24518","22.8056","1.99","0","117625971","12268086","1097316176","103031840","https://www.speedtest.net/result/c/39ec1b43-8a92-4c38-af86-eb1ed4329640","1","35.4666","10.1238","23.618","273.665","23.1512","7.30948","15.799","198.613","21.775","25.091"
2023-11-12T13:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9417","1.8635","0","118108338","13975836","979624504","157622560","https://www.speedtest.net/result/c/695e3926-3c13-4d88-b637-1421662be165","1","22.9649","9.9816","10.017","245.77","16.6048","7.74863","7.131","236.81","8.192","15.272"
2023-11-12T14:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.1752","1.00625","0","115875850","10465880","1165001432","81199789","https://www.speedtest.net/result/c/3ad1887b-8849-4c70-a9b5-4d662f2eb12e","1","21.0836","4.77672","7.102","38.927","14.4408","4.10791","8.428","31.83","12.679","14.594"
2023-11-12T15:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.5434","0.67425","0","115638838","10799476","987585072","94857758","https://www.speedtest.net/result/c/eefb617d-385f-493c-b3fb-2885632b3629","1","22.493","11.7277","11.045","245.937","13.9555","4.53522","8.118","38.588","12.836","14.327"
2023-11-12T16:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.0245","0.69925","0","116737827","13639955","1108240208","191280375","https://www.speedtest.net/result/c/4ef8c840-86bc-4b0a-830f-5c3e25448a93","1","22.1479","4.78093","13.885","46.203","15.8483","6.73339","8.246","134.98","13.385","14.638"
2023-11-12T17:00:01-0600,"Cox - Omaha - Omaha, NE","16621","14.3542","1.19025","0","115472484","13529825","962891040","194522684","https://www.speedtest.net/result/c/a0f04473-ab2a-40b2-a5e7-2144637fdcc0","1","21.9318","6.03942","10.248","36.539","16.4915","6.72112","9.851","167.031","13.251","15.483"
2023-11-12T18:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.2979","0.73875","0","108768568","14192488","972610016","183319531","https://www.speedtest.net/result/c/75527542-179d-4b4d-8646-fa3ecf525b82","1","21.0529","6.12943","9.546","54.169","19.1311","6.17341","9.293","135.259","12.962","15.063"
2023-11-12T19:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.6951","3.039","0","93972056","11055026","1350390320","163270691","https://www.speedtest.net/result/c/d2ff41ec-c945-4c73-aa27-73de31ee5241","1","12.6967","4.26378","6.775","30.687","14.1922","7.56364","8.914","155.8","8.397","15.073"
2023-11-12T20:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.9149","2.98275","0","7855033","14215504","94817936","129126984","https://www.speedtest.net/result/c/6469d994-5318-4589-8a5f-0f5759cec91d","1","14.9926","13.0629","5.15","198.068","27.3561","13.3662","12.905","141.506","12.692","18.947"
2023-11-12T20:20:21-0600,"Fastwyre Broadband - Blair, NE","56189","21.2569","1.13225","0","3741060","12701726","47549544","150594562","https://www.speedtest.net/result/c/bb84059b-57aa-47ff-82a8-a4e9da89f11f","1","22.1538","11.1257","12.368","242.385","57.8216","36.5125","14.24","3546.05","18.741","22.289"
2023-11-12T20:30:00-0600,"Cox - Omaha - Omaha, NE","16621","14.5591","0.5805","0","6200386","14065158","95049616","123684812","https://www.speedtest.net/result/c/90e99b2c-dce5-41af-b498-c8c449055b57","1","17.5867","26.6583","4.678","234.685","23.643","13.8709","10.226","200.692","14.049","15.235"
2023-11-12T21:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.929","0.5785","0","6229417","14065788","73976872","130408263","https://www.speedtest.net/result/c/9793aee3-b87e-4a7d-bc63-4ebee0b39fc1","1","13.6596","6.81476","4.442","35.251","26.6764","13.0815","10.595","157.211","13.433","14.418"
2023-11-12T21:30:00-0600,"Cox - Omaha - Omaha, NE","16621","14.0565","1.7785","0","36238169","14312180","496599016","88350745","https://www.speedtest.net/result/c/3cd4c3b0-6720-4370-8abf-4059519e73fc","1","13.8496","6.81538","5.587","47.162","29.7667","8.97162","14.072","166.821","12.602","15.226"
2023-11-12T22:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.1748","0.3885","0","90888549","14224038","1027308592","77364640","https://www.speedtest.net/result/c/a94b80d2-0b0e-4fdd-8da3-048dbf824588","1","14.6349","7.54711","6.055","37.71","21.0009","11.5212","10.253","214.481","13.417","14.45"
2023-11-12T23:00:01-0600,"Cox - Omaha - Omaha, NE","16621","13.8819","0.54375","0","117874037","13860268","996827280","89226064","https://www.speedtest.net/result/c/6ce63743-4080-4cb2-881d-bef4b3a694f7","1","23.4166","13.585","7.785","246.249","18.257","9.41276","11.329","132.258","13.517","14.635"
2023-11-13T00:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.6924","0.79","0","117465911","14070572","1092309244","84322544","https://www.speedtest.net/result/c/ff3561d7-a13b-45ff-a465-d4364d78fee3","1","24.3336","13.5835","9.213","257.729","16.5687","10.209","9.005","141.57","12.754","14.302"
2023-11-13T01:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.1187","1.067","0","117741043","14335407","975756520","83744744","https://www.speedtest.net/result/c/a59170eb-1cf6-420d-a231-e6131cab9579","1","23.9143","3.74378","7.948","33.556","22.8519","9.52803","16.512","138.555","12.456","14.614"
2023-11-13T02:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.9802","0.471","0","117913592","14322796","1031722176","62572184","https://www.speedtest.net/result/c/4618cca0-64a9-4605-a4ae-edfc33168b94","1","24.8832","5.04127","15.797","44.652","25.5566","13.1759","11.372","140.896","13.787","15.283"
2023-11-13T03:00:00-0600,"Cox - Omaha - Omaha, NE","16621","12.832","1.004","0","118201060","14349227","964433160","145050650","https://www.speedtest.net/result/c/7a1dccbf-51c2-46be-9785-0ea4ec465f6f","1","24.1262","13.9895","9.578","238.983","21.9425","6.8828","8.391","139.158","11.439","14.167"
2023-11-13T04:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.5959","1.34825","0","117835050","14304654","992372058","55012112","https://www.speedtest.net/result/c/582919a6-37b3-4691-8701-d92550b59ba4","1","24.5848","6.46933","15.716","72.945","30.7265","16.768","17.232","138.573","13.364","15.715"
2023-11-13T05:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.1313","0.7605","0","117785628","14295794","974840112","79926448","https://www.speedtest.net/result/c/9e472285-848c-41cc-8b48-d97381c49013","1","24.0957","4.22451","18.298","37.604","23.079","19.3402","14.838","171.432","13.434","16.105"
